<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FB.US,5,20200825,153500,272.175,273.62,271.675,272.39,556158,0
FB.US,5,20200825,154000,272.36,272.909,271.1,272.34,234992,0
FB.US,5,20200825,154500,272.34,274.85,272.04,274.4,542254,0
FB.US,5,20200825,155000,274.43,274.44,272.124,272.31,337953,0
FB.US,5,20200825,155500,272.33,273.9,271.76,273.65,361740,0
FB.US,5,20200825,160000,273.72,273.857,273,273.588,216999,0
FB.US,5,20200825,160500,273.64,274.26,272.6,273.215,290036,0
FB.US,5,20200825,161000,273.25,275.35,272.95,275.309,326189,0
FB.US,5,20200825,161500,275.325,275.51,274.43,275.24,344597,0
FB.US,5,20200825,162000,275.19,275.6,274.33,274.83,216169,0
FB.US,5,20200825,162500,274.838,275.09,274.02,274.239,210432,0
FB.US,5,20200825,163000,274.24,275.01,273.71,274.92,272086,0
FB.US,5,20200825,163500,274.895,275.08,274.4,274.55,145134,0
FB.US,5,20200825,164000,274.58,274.85,274.38,274.526,122014,0
FB.US,5,20200825,164500,274.54,274.8,274.001,274.15,129433,0
FB.US,5,20200825,165000,274.23,274.432,274.05,274.18,80970,0
FB.US,5,20200825,165500,274.16,274.91,273.91,274.79,140980,0
FB.US,5,20200825,170000,274.77,275.82,274.593,275.606,315890,0
FB.US,5,20200825,170500,275.62,276.95,275.4,276.93,493872,0
FB.US,5,20200825,171000,276.93,278.88,276.64,278.31,941768,0
FB.US,5,20200825,171500,278.29,279.7,278.22,279.54,841043,0
FB.US,5,20200825,172000,279.57,279.59,278.21,278.72,430619,0
FB.US,5,20200825,172500,278.72,279.24,277.82,278.365,353751,0
FB.US,5,20200825,173000,278.39,278.51,277.671,278.325,316289,0
FB.US,5,20200825,173500,278.36,278.9,277.97,278.155,321916,0
FB.US,5,20200825,174000,278.13,278.59,277.87,278.37,206928,0
FB.US,5,20200825,174500,278.37,278.75,277.83,277.95,302312,0
FB.US,5,20200825,175000,277.937,278.35,277.33,277.86,195294,0
FB.US,5,20200825,175500,277.9,278.43,277.88,278.25,163929,0
FB.US,5,20200825,180000,278.28,278.74,277.62,278.07,253974,0
FB.US,5,20200825,180500,278.11,278.18,277.42,278.16,142433,0
FB.US,5,20200825,181000,278.155,278.5,277.07,277.395,330204,0
FB.US,5,20200825,181500,277.35,277.89,277.146,277.74,271657,0
FB.US,5,20200825,182000,277.75,278.47,277.531,278.415,211105,0
FB.US,5,20200825,182500,278.42,279.438,278.42,278.79,461676,0
FB.US,5,20200825,183000,278.81,279.58,278.8,279.42,256984,0
FB.US,5,20200825,183500,279.454,279.77,278.75,279.109,309134,0
FB.US,5,20200825,184000,279.115,279.41,279.048,279.165,131930,0
FB.US,5,20200825,184500,279.18,279.24,278.14,278.309,183684,0
FB.US,5,20200825,185000,278.27,278.49,278.03,278.2,142526,0
FB.US,5,20200825,185500,278.18,278.84,277.93,278.792,132726,0
FB.US,5,20200825,190000,278.786,279.33,278.54,278.98,191819,0
FB.US,5,20200825,190500,278.99,279.44,278.93,279.425,117507,0
FB.US,5,20200825,191000,279.404,279.735,279.06,279.25,236813,0
FB.US,5,20200825,191500,279.278,280.44,279.1,280.408,405050,0
FB.US,5,20200825,192000,280.42,280.73,280.15,280.449,334082,0
FB.US,5,20200825,192500,280.471,281.24,280.471,281.12,390879,0
FB.US,5,20200825,193000,281.07,281.17,280.423,280.87,303014,0
FB.US,5,20200825,193500,280.875,281.469,280.82,281.2,315968,0
FB.US,5,20200825,194000,281.21,281.84,281.21,281.475,350060,0
FB.US,5,20200825,194500,281.46,282.04,281.33,281.405,421784,0
FB.US,5,20200825,195000,281.38,281.63,280.2,280.639,436525,0
FB.US,5,20200825,195500,280.65,280.69,279.97,280.538,267169,0
FB.US,5,20200825,200000,280.53,281.27,280.21,281.215,284774,0
FB.US,5,20200825,200500,281.19,281.47,280.679,281.39,239982,0
FB.US,5,20200825,201000,281.42,281.85,281.26,281.73,234643,0
FB.US,5,20200825,201500,281.75,282.13,281.1,281.88,380401,0
FB.US,5,20200825,202000,281.875,282.09,281.77,281.875,253754,0
FB.US,5,20200825,202500,281.89,282.97,281.594,282.934,510352,0
FB.US,5,20200825,203000,282.97,283.09,282.43,282.66,614383,0
FB.US,5,20200825,203500,282.68,282.91,282.2,282.4,380762,0
FB.US,5,20200825,204000,282.419,283.06,282.15,282.62,439041,0
FB.US,5,20200825,204500,282.59,283.02,282.585,282.973,278201,0
FB.US,5,20200825,205000,282.935,283,282.27,282.55,272573,0
FB.US,5,20200825,205500,282.56,282.62,281.725,282.51,470540,0
FB.US,5,20200825,210000,282.49,282.583,281.809,281.91,353299,0
FB.US,5,20200825,210500,281.881,282,281.39,281.933,427190,0
FB.US,5,20200825,211000,281.925,282.15,281.06,281.13,356600,0
FB.US,5,20200825,211500,281.13,281.84,281.04,281.68,279090,0
FB.US,5,20200825,212000,281.72,281.75,281.07,281.2,225236,0
FB.US,5,20200825,212500,281.106,281.66,280.71,281.61,296293,0
FB.US,5,20200825,213000,281.623,281.97,281.08,281.255,257457,0
FB.US,5,20200825,213500,281.24,281.73,281.15,281.494,181509,0
FB.US,5,20200825,214000,281.48,281.69,280.656,280.778,250556,0
FB.US,5,20200825,214500,280.804,281.38,280.42,281.1,303221,0
FB.US,5,20200825,215000,281.07,281.25,280.8,281.14,321740,0
FB.US,5,20200825,215500,281.12,281.12,280.56,280.82,1409158,0
FB.US,5,20200826,153000,284,287.685,284,287.685,1542179,0
FB.US,5,20200826,153500,287.695,288.85,286.82,288.09,960289,0
FB.US,5,20200826,154000,288.011,288.4,287.34,287.67,507442,0
FB.US,5,20200826,154500,287.71,289.76,287.63,288.825,749859,0
FB.US,5,20200826,155000,288.84,288.84,286.57,287.737,600148,0
FB.US,5,20200826,155500,287.72,288.33,286.895,287.55,461713,0
FB.US,5,20200826,160000,287.55,288.86,287.44,287.665,481761,0
FB.US,5,20200826,160500,287.64,288.78,287.6,288.77,237116,0
FB.US,5,20200826,161000,288.743,289.37,288.444,289.16,389945,0
FB.US,5,20200826,161500,289.18,290.95,289.13,290.94,613656,0
FB.US,5,20200826,162000,290.936,290.97,289.35,290.195,521447,0
FB.US,5,20200826,162500,290.185,291.75,290.03,291.68,514437,0
FB.US,5,20200826,163000,291.68,292.98,291.51,292.59,683425,0
FB.US,5,20200826,163500,292.63,292.958,291.877,292.889,410181,0
FB.US,5,20200826,164000,292.87,293.93,292.87,293.8,793365,0
FB.US,5,20200826,164500,293.82,295.77,293.58,295.67,913468,0
FB.US,5,20200826,165000,295.66,296.406,294.5,294.62,935844,0
FB.US,5,20200826,165500,294.635,298.135,294.62,297.33,1170610,0
FB.US,5,20200826,170000,297.34,299.32,297.26,297.68,1443922,0
FB.US,5,20200826,170500,297.69,298.43,296.08,297.28,1404965,0
FB.US,5,20200826,171000,297.29,298.732,297.17,298.07,1007637,0
FB.US,5,20200826,171500,298.057,298.86,296.6,297.405,833209,0
FB.US,5,20200826,172000,297.414,297.7,294.97,296.55,860477,0
FB.US,5,20200826,172500,296.55,296.69,294.97,295.995,812005,0
FB.US,5,20200826,173000,295.97,296.44,295.45,296.24,587058,0
FB.US,5,20200826,173500,296.26,297,296.11,296.52,546305,0
FB.US,5,20200826,174000,296.51,297.532,296.25,297.45,639504,0
FB.US,5,20200826,174500,297.453,297.55,296.5,296.66,534656,0
FB.US,5,20200826,175000,296.62,296.86,295.1,296.167,475998,0
FB.US,5,20200826,175500,296.14,296.84,295.76,295.8,381133,0
FB.US,5,20200826,180000,295.83,296.03,291.02,294.03,1755335,0
FB.US,5,20200826,180500,294,295.4,293.711,295.105,830018,0
FB.US,5,20200826,181000,295.09,295.46,294.59,295.31,613097,0
FB.US,5,20200826,181500,295.38,295.75,294.85,295.22,528243,0
FB.US,5,20200826,182000,295.245,295.764,294.39,294.579,573429,0
FB.US,5,20200826,182500,294.55,295.64,294.39,295.36,445658,0
FB.US,5,20200826,183000,295.39,295.54,295.11,295.16,253896,0
FB.US,5,20200826,183500,295.158,295.34,294.331,294.85,320688,0
FB.US,5,20200826,184000,294.87,295.03,293.542,294.03,413990,0
FB.US,5,20200826,184500,294,294.2,293.6,294.2,379240,0
FB.US,5,20200826,185000,294.21,295.6,294.17,295.56,443871,0
FB.US,5,20200826,185500,295.57,296.25,295.15,295.465,461718,0
FB.US,5,20200826,190000,295.473,296.67,295.473,296.55,383380,0
FB.US,5,20200826,190500,296.55,297.05,296.16,296.33,344000,0
FB.US,5,20200826,191000,296.335,296.97,296.335,296.725,320449,0
FB.US,5,20200826,191500,296.72,297.29,296.675,297,469438,0
FB.US,5,20200826,192000,297.01,297.07,295.94,296.395,450305,0
FB.US,5,20200826,192500,296.4,296.44,295.951,296.26,274095,0
FB.US,5,20200826,193000,296.265,296.45,295.8,296.09,221506,0
FB.US,5,20200826,193500,296.09,296.93,295.938,296.925,279679,0
FB.US,5,20200826,194000,296.91,297.18,296.61,296.9,1057690,0
FB.US,5,20200826,194500,296.9,298.44,296.75,298.095,538436,0
FB.US,5,20200826,195000,298.07,299.16,297.64,299.15,735970,0
FB.US,5,20200826,195500,299.105,299.83,298.8,299.48,677899,0
FB.US,5,20200826,200000,299.485,300.93,299.485,300.89,776893,0
FB.US,5,20200826,200500,300.88,301.34,299.9,301.185,721611,0
FB.US,5,20200826,201000,301.204,301.63,300.61,301.06,620914,0
FB.US,5,20200826,201500,301.055,301.739,300.32,301.36,540638,0
FB.US,5,20200826,202000,301.36,302.85,301.05,302.36,894443,0
FB.US,5,20200826,202500,302.37,302.43,301.5,302.39,455162,0
FB.US,5,20200826,203000,302.385,302.55,300.64,300.83,537699,0
FB.US,5,20200826,203500,300.85,300.95,298.78,299.32,768555,0
FB.US,5,20200826,204000,299.36,300.02,298.12,298.195,618070,0
FB.US,5,20200826,204500,298.18,298.75,297.91,298.53,604942,0
FB.US,5,20200826,205000,298.626,299.46,298.14,298.85,590129,0
FB.US,5,20200826,205500,298.825,299,297.25,298.13,461970,0
FB.US,5,20200826,210000,298.08,298.71,297.02,297.48,572356,0
FB.US,5,20200826,210500,297.505,299.87,297.49,299.85,665515,0
FB.US,5,20200826,211000,299.84,301.04,299.14,300.935,737380,0
FB.US,5,20200826,211500,300.92,300.925,299.81,300.34,615512,0
FB.US,5,20200826,212000,300.38,302.04,299.83,302.025,774934,0
FB.US,5,20200826,212500,302.025,302.09,301.11,301.94,578373,0
FB.US,5,20200826,213000,301.97,302.22,301.17,301.623,526826,0
FB.US,5,20200826,213500,301.625,302.46,301.4,301.98,567472,0
FB.US,5,20200826,214000,301.96,303.01,301.79,302.925,815335,0
FB.US,5,20200826,214500,302.93,304.06,302.45,303.965,918079,0
FB.US,5,20200826,215000,304.02,304.1,302.47,303.18,826375,0
FB.US,5,20200826,215500,303.19,304.67,303.06,303.91,2609111,0
FB.US,5,20200827,153000,300.16,301.23,295.89,297.309,1292172,0
FB.US,5,20200827,153500,297.39,298.01,296.1,296.6,524810,0
FB.US,5,20200827,154000,296.56,299.7,296.56,299.076,594467,0
FB.US,5,20200827,154500,298.95,299.297,297.205,298.235,341325,0
FB.US,5,20200827,155000,298.29,299.213,297.63,298.615,295392,0
FB.US,5,20200827,155500,298.49,298.508,295.5,296.55,413334,0
FB.US,5,20200827,160000,296.61,297.31,295.92,296.28,362341,0
FB.US,5,20200827,160500,296.31,297.9,295.89,297.5,286189,0
FB.US,5,20200827,161000,297.55,297.9,296.299,296.845,259461,0
FB.US,5,20200827,161500,296.83,298.09,296.35,297.818,272112,0
FB.US,5,20200827,162000,297.81,298.89,297.61,298.65,311136,0
FB.US,5,20200827,162500,298.59,300.571,298.52,299.94,538006,0
FB.US,5,20200827,163000,299.95,299.99,298.637,299.123,209694,0
FB.US,5,20200827,163500,299.1,299.19,298.15,298.17,188007,0
FB.US,5,20200827,164000,298.19,298.535,297.076,297.6,280946,0
FB.US,5,20200827,164500,297.58,297.8,296.86,297.005,242999,0
FB.US,5,20200827,165000,297,298.16,296.619,297.834,382508,0
FB.US,5,20200827,165500,297.82,297.863,296.895,297.07,217139,0
FB.US,5,20200827,170000,297.07,297.49,296.68,297.395,215094,0
FB.US,5,20200827,170500,297.39,298.57,297.14,297.99,301187,0
FB.US,5,20200827,171000,297.985,298.19,297.52,297.87,195284,0
FB.US,5,20200827,171500,297.9,298.06,297.38,297.443,143681,0
FB.US,5,20200827,172000,297.46,297.7,297.08,297.15,192940,0
FB.US,5,20200827,172500,297.18,297.382,296.65,296.79,157311,0
FB.US,5,20200827,173000,296.85,297.44,296.44,297.325,223170,0
FB.US,5,20200827,173500,297.35,298.18,297.29,298.02,159800,0
FB.US,5,20200827,174000,298.02,298.944,297.87,298.751,279317,0
FB.US,5,20200827,174500,298.75,299.12,298.05,298.197,224390,0
FB.US,5,20200827,175000,298.2,298.409,297.55,297.565,165551,0
FB.US,5,20200827,175500,297.58,297.6,297.07,297.14,273630,0
FB.US,5,20200827,180000,297.141,297.41,296.25,297.07,363110,0
FB.US,5,20200827,180500,297.1,297.35,296.721,297.02,157950,0
FB.US,5,20200827,181000,297.02,297.13,296.41,296.809,188726,0
FB.US,5,20200827,181500,296.8,297.15,296.1,296.15,179876,0
FB.US,5,20200827,182000,296.148,296.73,296.02,296.65,160022,0
FB.US,5,20200827,182500,296.65,296.73,296,296.1,177433,0
FB.US,5,20200827,183000,296.1,296.28,295.59,295.75,206271,0
FB.US,5,20200827,183500,295.72,295.72,294.61,294.78,288980,0
FB.US,5,20200827,184000,294.79,295.27,294.53,294.94,214801,0
FB.US,5,20200827,184500,294.93,294.96,294.09,294.19,200920,0
FB.US,5,20200827,185000,294.19,294.25,292.32,293.34,472751,0
FB.US,5,20200827,185500,293.3,294.05,292.65,292.93,292490,0
FB.US,5,20200827,190000,292.93,293.39,292.5,292.69,271848,0
FB.US,5,20200827,190500,292.63,293.17,292.02,293.05,311288,0
FB.US,5,20200827,191000,293.05,293.41,292.632,293.008,195535,0
FB.US,5,20200827,191500,293.035,293.29,292.2,293.011,212998,0
FB.US,5,20200827,192000,292.951,293.78,292.81,293.012,290256,0
FB.US,5,20200827,192500,293.05,294.64,293.05,294.575,248793,0
FB.US,5,20200827,193000,294.59,294.64,293.51,293.58,199871,0
FB.US,5,20200827,193500,293.59,293.773,293.1,293.466,195332,0
FB.US,5,20200827,194000,293.49,293.9,293.17,293.59,224802,0
FB.US,5,20200827,194500,293.605,293.91,293.35,293.63,181858,0
FB.US,5,20200827,195000,293.65,293.79,293.26,293.51,103952,0
FB.US,5,20200827,195500,293.51,294.59,293.51,294.447,172177,0
FB.US,5,20200827,200000,294.45,294.5,294.12,294.429,120441,0
FB.US,5,20200827,200500,294.37,294.48,294.07,294.18,193709,0
FB.US,5,20200827,201000,294.21,294.46,293.92,294.18,137858,0
FB.US,5,20200827,201500,294.18,295.25,294.15,295.194,202975,0
FB.US,5,20200827,202000,295.22,295.474,294.79,295,175145,0
FB.US,5,20200827,202500,295.04,295.729,295.04,295.55,168954,0
FB.US,5,20200827,203000,295.477,295.59,295.09,295.3,115735,0
FB.US,5,20200827,203500,295.265,295.54,295.13,295.328,144069,0
FB.US,5,20200827,204000,295.35,295.76,295.252,295.305,117658,0
FB.US,5,20200827,204500,295.32,295.6,294.585,294.655,154151,0
FB.US,5,20200827,205000,294.67,294.96,294.22,294.425,115681,0
FB.US,5,20200827,205500,294.415,294.75,294.28,294.64,92096,0
FB.US,5,20200827,210000,294.64,294.96,294.3,294.34,120934,0
FB.US,5,20200827,210500,294.29,294.29,293.715,293.975,149208,0
FB.US,5,20200827,211000,293.99,294.24,293.75,294.025,119225,0
FB.US,5,20200827,211500,294.02,294.25,293.8,294.2,154689,0
FB.US,5,20200827,212000,294.18,295.24,294.18,294.82,240283,0
